"item_identifier","item_weight","item_fat_content","item_visibility","item_type","item_mrp","outlet_identifier","outlet_establishment_year","outlet_size","outlet_location_type","outlet_type","item_outlet_sales","outlet_age","price_category"
"NCY54",8.43,"low fat",0.177971115,"Household",174.0422,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2069.3064,27,"High"
"FDR59",14.5,"regular",0.106894492,"Breads",260.4594,"OUT010",1998,"Unknown","Tier 3","Grocery Store",1046.6376,28,"Premium"
"DRA59",8.27,"regular",0.127927931,"Soft Drinks",184.8924,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4442.2176,29,"High"
"FDS55",7.02,"low fat",0.081623275,"Fruits and Vegetables",148.0734,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",1930.1542,19,"High"
"FDZ28",20,"regular",0.051596927,"Frozen Foods",128.0678,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",1780.3492,24,"Medium"
"DRG49",7.81,"low fat",0.067592098,"Soft Drinks",246.0486,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",7086.1094,24,"Premium"
"FDH21",10.395,"low fat",0.054670967,"Seafood",158.6604,"OUT019",1985,"Small","Tier 1","Grocery Store",316.9208,41,"High"
"NCN19",13.1,"low fat",0.012089479,"Others",189.853,"OUT013",1987,"High","Tier 3","Supermarket Type1",3415.554,39,"High"
"FDP25",15.2,"low fat",0.021250528,"Canned",216.5824,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",5241.1776,24,"Premium"
"DRH59",10.8,"low fat",0.05843345,"Hard Drinks",74.738,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1025.332,29,"Medium"
"FDH09",12.6,"low fat",0.05606697,"Seafood",50.7982,"OUT035",2004,"Small","Tier 2","Supermarket Type1",473.3838,22,"Low"
"NCK54",12.15,"low fat",0.029569276,"Household",115.015,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2912.875,27,"Medium"
"FDT21",7.42,"low fat",0.0204332,"Snack Foods",248.9092,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",5976.2208,24,"Premium"
"FDR12",12.6,"regular",0.055213281,"Baking Goods",172.4764,"OUT019",1985,"Small","Tier 1","Grocery Store",687.1056,41,"High"
"FDS25",6.885,"regular",0.1408005,"Canned",111.4228,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",2984.1156,19,"Medium"
"NCL05",19.6,"low fat",0.047665717,"Health and Hygiene",42.177,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1255.033,41,"Low"
"NCI30",20.25,"low fat",0.059268885,"Household",246.446,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",3695.19,19,"Premium"
"FDJ26",15.3,"regular",0.084937098,"Canned",214.0218,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",1068.609,24,"Premium"
"FDA56",9.21,"low fat",0.008778413,"Fruits and Vegetables",122.4414,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1583.9382,27,"Medium"
"FDM33",15.6,"low fat",0.087719692,"Snack Foods",220.4798,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",661.1394,17,"Premium"
"FDP04",15.35,"low fat",0.013834247,"Frozen Foods",62.7168,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",958.752,27,"Low"
"FDR55",12.15,"regular",0.132351411,"Fruits and Vegetables",190.3872,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",2836.308,24,"High"
"NCZ54",14.65,"low fat",0.082955719,"Household",164.0552,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",5523.4768,41,"High"
"NCA53",11.395,"low fat",0.009893817,"Health and Hygiene",50.3034,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",972.068,27,"Low"
"FDL20",17.1,"low fat",0.128674983,"Fruits and Vegetables",111.9886,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3002.0922,29,"Medium"
"FDT26",18.85,"regular",0.067940657,"Dairy",119.044,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1198.44,22,"Medium"
"NCZ06",19.6,"low fat",0.094161662,"Household",251.9698,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4566.0564,29,"Premium"
"FDA04",11.3,"regular",0.067107448,"Frozen Foods",258.1962,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",4402.9354,19,"Premium"
"FDD29",12.15,"low fat",0.018321361,"Frozen Foods",255.3698,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4819.7262,41,"Premium"
"FDS56",5.785,"regular",0.038756864,"Fruits and Vegetables",260.7252,"OUT046",1997,"Small","Tier 1","Supermarket Type1",6033.4796,29,"Premium"
"FDT07",5.82,"regular",0.077254736,"Fruits and Vegetables",257.633,"OUT013",1987,"High","Tier 3","Supermarket Type1",1537.998,39,"Premium"
"FDT58",9,"low fat",0.08630486,"Snack Foods",168.0816,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2181.1608,17,"High"
"FDJ10",5.095,"regular",0.128876537,"Snack Foods",139.1838,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4916.933,41,"Medium"
"FDN25",7.895,"regular",0.061163967,"Breakfast",59.2588,"OUT035",2004,"Small","Tier 2","Supermarket Type1",801.6232,22,"Low"
"DRC27",13.8,"low fat",0.058220302,"Dairy",247.4802,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",1474.0812,24,"Premium"
"FDA38",5.44,"low fat",0.025519534,"Dairy",238.7538,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3605.307,27,"Premium"
"FDM56",16.7,"low fat",0.070133177,"Fruits and Vegetables",109.8912,"OUT013",1987,"High","Tier 3","Supermarket Type1",873.5296,39,"Medium"
"NCI43",19.85,"low fat",0.025947095,"Household",46.9376,"OUT013",1987,"High","Tier 3","Supermarket Type1",575.2512,39,"Low"
"FDP36",10.395,"regular",0.091688111,"Baking Goods",49.0008,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",860.2136,19,"Low"
"DRK49",14.15,"low fat",0.0359403185,"Soft Drinks",40.5138,"OUT019",1985,"Small","Tier 1","Grocery Store",40.6138,41,"Low"
"FDW32",18.35,"regular",0.165101585,"Fruits and Vegetables",87.7882,"OUT019",1985,"Small","Tier 1","Grocery Store",515.3292,41,"Medium"
"NCW18",15.1,"low fat",0.059417055,"Household",237.9248,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2133.2232,27,"Premium"
"FDQ44",20.5,"low fat",0.036287517,"Fruits and Vegetables",121.2756,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2181.1608,17,"Medium"
"FDL45",15.6,"low fat",0.037764269,"Snack Foods",124.9704,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",2253.0672,24,"Medium"
"DRB48",16.75,"regular",0.024848788,"Soft Drinks",39.9822,"OUT035",2004,"Small","Tier 2","Supermarket Type1",746.3618,22,"Low"
"FDQ34",10.85,"low fat",0.162903525,"Snack Foods",104.9622,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1482.0708,17,"Medium"
"FDH17",16.2,"regular",0.016747538,"Frozen Foods",98.6726,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",1272.3438,19,"Medium"
"FDN08",7.72,"regular",0.147904328,"Fruits and Vegetables",116.6466,"OUT010",1998,"Unknown","Tier 3","Grocery Store",117.8466,28,"Medium"
"FDK57",12.65,"low fat",0.079904068,"Snack Foods",120.044,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4434.228,41,"Medium"
"FDK10",5.785,"regular",0.040325274,"Snack Foods",180.466,"OUT013",1987,"High","Tier 3","Supermarket Type1",719.064,39,"High"
"FDL39",16.1,"regular",0.06302467,"Dairy",181.6318,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1263.0226,41,"High"
"FDP25",15.2,"low fat",0.021203509,"Canned",216.3824,"OUT035",2004,"Small","Tier 2","Supermarket Type1",6114.7072,22,"Premium"
"FDC05",13.1,"regular",0.098765906,"Frozen Foods",196.3768,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2167.8448,22,"High"
"FDA39",6.32,"low fat",0.012707362,"Meat",41.0822,"OUT013",1987,"High","Tier 3","Supermarket Type1",942.7728,39,"Low"
"FDZ10",17.85,"low fat",0.04442649,"Snack Foods",124.902,"OUT013",1987,"High","Tier 3","Supermarket Type1",1897.53,39,"Medium"
"FDK08",9.195,"regular",0.121712459,"Fruits and Vegetables",101.2016,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2631.2416,41,"Medium"
"DRD24",13.85,"low fat",0.030769458,"Soft Drinks",141.7154,"OUT013",1987,"High","Tier 3","Supermarket Type1",2978.1234,39,"High"
"DRG48",5.78,"low fat",0.014614357,"Soft Drinks",147.3102,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2332.9632,17,"High"
"FDH52",9.42,"regular",0.076868664,"Frozen Foods",62.1194,"OUT019",1985,"Small","Tier 1","Grocery Store",123.8388,41,"Low"
"FDS25",6.885,"regular",0.140292495,"Canned",108.5228,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",1989.4104,24,"Medium"
"NCH43",8.42,"low fat",0.070555571,"Household",216.0192,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2372.9112,22,"Premium"
"DRK01",7.63,"low fat",0.061409711,"Soft Drinks",94.6436,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",1607.2412,19,"Medium"
"FDD59",10.5,"regular",0.066555152,"Starchy Foods",80.896,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",958.752,19,"Medium"
"FDB27",7.575,"low fat",0.092711708,"Dairy",197.7768,"OUT010",1998,"Unknown","Tier 3","Grocery Store",197.0768,28,"High"
"FDO22",13.5,"regular",0.017844609,"Snack Foods",81.396,"OUT013",1987,"High","Tier 3","Supermarket Type1",1198.44,39,"Medium"
"FDD35",12.15,"low fat",0.025916883,"Starchy Foods",120.244,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",2277.036,24,"Medium"
"FDR01",5.405,"regular",0.053611144,"Canned",197.7742,"OUT035",2004,"Small","Tier 2","Supermarket Type1",796.2968,22,"High"
"NCB31",6.235,"low fat",0.207783483,"Household",262.291,"OUT019",1985,"Small","Tier 1","Grocery Store",525.982,41,"Premium"
"FDC35",7.435,"low fat",0.122837694,"Starchy Foods",208.7638,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3105.957,29,"High"
"FDS23",4.635,"low fat",0.141174838,"Breads",127.0994,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",2826.9868,24,"Medium"
"FDC33",8.96,"regular",0.069078149,"Fruits and Vegetables",197.7768,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",3153.2288,24,"High"
"NCF18",18.35,"low fat",0.089345074,"Household",191.9504,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",5369.0112,17,"High"
"FDM36",11.65,"regular",0.058822142,"Baking Goods",173.5422,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3448.844,27,"High"
"FDJ53",10.5,"low fat",0.071368699,"Frozen Foods",121.3098,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1446.1176,27,"Medium"
"NCL17",7.39,"low fat",0.068055818,"Health and Hygiene",140.7812,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1567.2932,17,"High"
"FDW27",5.86,"regular",0.150122794,"Meat",154.5314,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1396.1826,41,"High"
"FDA32",14,"low fat",0.030094192,"Fruits and Vegetables",215.7192,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1078.596,29,"Premium"
"FDA03",18.5,"regular",0.076097035,"Dairy",145.8102,"OUT010",1998,"Unknown","Tier 3","Grocery Store",291.6204,28,"High"
"FDW09",13.65,"regular",0.025973384,"Snack Foods",79.6302,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",554.6114,24,"Medium"
"FDN09",14.15,"low fat",0.034868095,"Snack Foods",244.1828,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",731.0484,24,"Premium"
"FDM08",10.1,"regular",0.053887301,"Fruits and Vegetables",225.6088,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",4250.4672,19,"Premium"
"FDX01",10.1,"low fat",0.024262772,"Canned",117.615,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1514.695,17,"Medium"
"DRO35",13.85,"low fat",0.034624104,"Hard Drinks",115.0492,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",4054.722,27,"Medium"
"FDS31",13.1,"regular",0.044281996,"Fruits and Vegetables",178.5318,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",3067.3406,24,"High"
"NCM53",18.75,"low fat",0.052121825,"Health and Hygiene",104.828,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2343.616,27,"Medium"
"FDI16",14,"regular",0.135662712,"Frozen Foods",52.064,"OUT013",1987,"High","Tier 3","Supermarket Type1",852.224,39,"Low"
"DRF36",16.1,"low fat",0.023613955,"Soft Drinks",192.8846,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",5350.3688,27,"High"
"FDW49",19.5,"low fat",0.082152451,"Canned",179.9002,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4119.3046,41,"High"
"FDB58",10.5,"regular",0.02363057,"Snack Foods",141.7154,"OUT019",1985,"Small","Tier 1","Grocery Store",425.4462,41,"High"
"NCJ18",12.35,"low fat",0.164274416,"Household",119.8124,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",2133.2232,24,"Medium"
"FDL51",20.7,"regular",0.047587685,"Dairy",215.0876,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",5145.3024,24,"Premium"
"FDS03",7.825,"low fat",0.079952983,"Meat",62.7826,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1162.4868,17,"Low"
"NCO54",19.5,"low fat",0.024992442,"Household",53.6614,"OUT019",1985,"Small","Tier 1","Grocery Store",165.7842,41,"Low"
"FDA48",12.1,"low fat",0.115107028,"Baking Goods",222.0114,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",3547.3824,24,"Premium"
"NCK06",5.03,"low fat",0.008604657,"Household",123.1756,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1211.756,41,"Medium"
"NCZ54",14.65,"low fat",0.083528446,"Household",162.4552,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",2274.3728,24,"High"
"FDW39",6.69,"regular",0.036731658,"Meat",177.237,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4763.799,41,"High"
"FDI09",20.75,"regular",0.129337594,"Seafood",238.188,"OUT046",1997,"Small","Tier 1","Supermarket Type1",5033.448,29,"Premium"
"NCO02",11.15,"low fat",0.073516952,"Others",65.0142,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1120.5414,27,"Low"
"DRF13",12.1,"low fat",0.029827665,"Soft Drinks",144.3444,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2612.5992,27,"High"
"FDK25",11.6,"regular",0.157718931,"Breakfast",168.3474,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",4548.0798,19,"High"
"FDZ38",17.6,"low fat",0.008046275,"Dairy",173.7422,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",5863.0348,19,"High"
"NCQ42",20.35,"low fat",0.068753558,"Household",127.9678,"OUT019",1985,"Small","Tier 1","Grocery Store",254.3356,41,"Medium"
"FDM14",13.8,"low fat",0.013199737,"Canned",108.9254,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2713.135,41,"Medium"
"FDC20",10.65,"low fat",0.023971463,"Fruits and Vegetables",54.0272,"OUT046",1997,"Small","Tier 1","Supermarket Type1",447.4176,29,"Low"
"FDW32",18.35,"regular",0.09468096,"Fruits and Vegetables",86.2882,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1631.8758,17,"Medium"
"FDQ19",7.35,"regular",0.014394261,"Fruits and Vegetables",241.3512,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",5331.7264,24,"Premium"
"FDE08",18.2,"low fat",0.049396364,"Fruits and Vegetables",146.4734,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3563.3616,27,"High"
"FDC29",8.39,"regular",0.024243294,"Frozen Foods",116.0176,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1603.2464,27,"Medium"
"FDV50",14.3,"low fat",0.122469209,"Dairy",121.973,"OUT013",1987,"High","Tier 3","Supermarket Type1",2709.806,39,"Medium"
"FDF11",10.195,"regular",0.017730951,"Starchy Foods",239.8538,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",4086.0146,19,"Premium"
"FDN09",14.15,"low fat",0.035016754,"Snack Foods",245.3828,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1705.7796,17,"Premium"
"DRG37",16.2,"low fat",0.019417732,"Soft Drinks",153.7972,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",1402.1748,24,"High"
"NCV06",11.3,"low fat",0.066358426,"Household",195.2478,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",7168.6686,41,"High"
"DRJ13",12.65,"low fat",0.105265475,"Soft Drinks",159.9578,"OUT010",1998,"Unknown","Tier 3","Grocery Store",962.7468,28,"High"
"DRF25",9,"low fat",0.038736754,"Soft Drinks",37.319,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1281.665,41,"Low"
"FDE53",10.895,"low fat",0.044991876,"Frozen Foods",107.228,"OUT010",1998,"Unknown","Tier 3","Grocery Store",426.112,28,"Medium"
"FDS08",5.735,"low fat",0.05696122,"Fruits and Vegetables",176.337,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1764.37,29,"High"
"FDO23",17.85,"low fat",0.147255604,"Breads",93.7436,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",1701.7848,19,"Medium"
"FDT07",5.82,"regular",0.077319079,"Fruits and Vegetables",255.433,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4357.661,29,"Premium"
"NCX29",10,"low fat",0.089135671,"Health and Hygiene",146.9102,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3207.8244,22,"High"
"FDG22",17.6,"regular",0.041373331,"Snack Foods",38.119,"OUT035",2004,"Small","Tier 2","Supermarket Type1",732.38,22,"Low"
"DRJ47",18.25,"low fat",0.04403602,"Hard Drinks",173.308,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",6751.212,41,"High"
"FDL43",10.1,"low fat",0.027041859,"Meat",77.567,"OUT013",1987,"High","Tier 3","Supermarket Type1",306.268,39,"Medium"
"FDZ43",11,"regular",0.056782237,"Fruits and Vegetables",241.2512,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",8239.9408,41,"Premium"
"FDZ21",17.6,"regular",0.03922186,"Snack Foods",97.241,"OUT046",1997,"Small","Tier 1","Supermarket Type1",193.082,29,"Medium"
"FDJ50",8.645,"low fat",0.021581922,"Canned",53.3982,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1209.7586,22,"Low"
"FDV35",19.5,"low fat",0.128206001,"Breads",155.9314,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3878.285,29,"High"
"FDW56",7.68,"low fat",0.071301323,"Fruits and Vegetables",190.8162,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",2693.8268,19,"High"
"DRL35",15.7,"low fat",0.030765898,"Hard Drinks",43.277,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",649.155,24,"Low"
"FDR01",5.405,"regular",0.053730029,"Canned",199.0742,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",4777.7808,24,"High"
"FDS24",20.85,"regular",0.062350672,"Baking Goods",86.9514,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",1416.8224,24,"Medium"
"NCL17",7.39,"low fat",0.068163102,"Health and Hygiene",140.4812,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",2422.1804,19,"High"
"FDS13",6.465,"low fat",0.124984497,"Canned",263.1884,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2914.8724,17,"Premium"
"FDB59",18.25,"low fat",0.015309885,"Snack Foods",197.6084,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",2380.9008,24,"High"
"FDW26",11.8,"regular",0.106538757,"Dairy",222.3772,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1556.6404,41,"Premium"
"FDQ12",12.65,"low fat",0.061999648,"Baking Goods",230.001,"OUT019",1985,"Small","Tier 1","Grocery Store",689.103,41,"Premium"
"FDX59",10.195,"low fat",0.051618281,"Breads",31.9558,"OUT013",1987,"High","Tier 3","Supermarket Type1",373.5138,39,"Low"
"FDL36",15.1,"low fat",0.076505799,"Baking Goods",91.583,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",539.298,19,"Medium"
"FDQ55",13.65,"regular",0.013091186,"Fruits and Vegetables",114.8834,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1612.5676,17,"Medium"
"FDV46",18.2,"low fat",0.022074764,"Snack Foods",141.418,"OUT019",1985,"Small","Tier 1","Grocery Store",559.272,41,"High"
"FDM28",15.7,"low fat",0.079146113,"Frozen Foods",181.466,"OUT019",1985,"Small","Tier 1","Grocery Store",179.766,41,"High"
"FDT40",5.985,"low fat",0.096337184,"Frozen Foods",125.2678,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",763.0068,19,"Medium"
"DRJ11",9.5,"low fat",0.142425145,"Hard Drinks",189.9872,"OUT010",1998,"Unknown","Tier 3","Grocery Store",756.3488,28,"High"
"FDD51",11.15,"low fat",0.119930029,"Dairy",44.7744,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",181.0976,24,"Low"
"NCT17",10.8,"low fat",0.041663111,"Health and Hygiene",188.6214,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",6029.4848,41,"High"
"NCW17",18,"low fat",0.019386234,"Health and Hygiene",126.8994,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3083.9856,29,"Medium"
"NCY29",13.65,"low fat",0.135226962,"Health and Hygiene",56.293,"OUT019",1985,"Small","Tier 1","Grocery Store",113.186,41,"Low"
"DRH36",16.2,"low fat",0.033447756,"Soft Drinks",73.4696,"OUT013",1987,"High","Tier 3","Supermarket Type1",2087.9488,39,"Medium"
"FDB17",13.15,"low fat",0.036729122,"Frozen Foods",179.7976,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2535.3664,27,"High"
"NCA17",20.6,"low fat",0.045380404,"Health and Hygiene",148.4392,"OUT013",1987,"High","Tier 3","Supermarket Type1",1789.6704,39,"High"
"FDT27",11.395,"regular",0.069587171,"Meat",234.6616,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4687.232,29,"Premium"
"FDR32",6.78,"regular",0.08573655,"Fruits and Vegetables",229.5694,"OUT013",1987,"High","Tier 3","Supermarket Type1",3425.541,39,"Premium"
"FDG41",8.84,"regular",0.076681143,"Frozen Foods",110.7228,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1657.842,27,"Medium"
"FDX25",16.7,"low fat",0.102055777,"Canned",184.0292,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3101.2964,29,"High"
"FDG56",13.3,"regular",0.071856726,"Fruits and Vegetables",63.2536,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",1347.5792,19,"Low"
"FDN16",12.6,"regular",0.063054947,"Frozen Foods",102.399,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",2270.378,19,"Medium"
"FDD47",7.6,"regular",0.142383847,"Starchy Foods",172.3448,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2556.672,22,"High"
"FDR12",12.6,"regular",0.03150851,"Baking Goods",170.5764,"OUT013",1987,"High","Tier 3","Supermarket Type1",3779.0808,39,"High"
"FDS33",6.67,"regular",0.123620492,"Snack Foods",90.0514,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1505.3738,27,"Medium"
"NCC55",10.695,"low fat",0.06375108,"Household",36.7848,"OUT035",2004,"Small","Tier 2","Supermarket Type1",782.9808,22,"Low"
"FDA38",5.44,"low fat",0.04461205,"Dairy",241.1538,"OUT019",1985,"Small","Tier 1","Grocery Store",480.7076,41,"Premium"
"FDK44",16.6,"low fat",0.122204371,"Fruits and Vegetables",173.5738,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1911.5118,22,"High"
"FDZ57",10,"regular",0.037764307,"Snack Foods",127.2994,"OUT046",1997,"Small","Tier 1","Supermarket Type1",642.497,29,"Medium"
"NCN14",19.1,"low fat",0.092437711,"Others",185.2608,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",1470.0864,19,"High"
"NCB06",17.6,"low fat",0.137807013,"Health and Hygiene",161.792,"OUT010",1998,"Unknown","Tier 3","Grocery Store",159.792,28,"High"
"DRL01",19.5,"regular",0.077292302,"Soft Drinks",235.3958,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",6309.7866,27,"Premium"
"FDU10",10.1,"regular",0.045763062,"Snack Foods",38.4848,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",633.8416,27,"Low"
"NCS38",8.6,"low fat",0.090558833,"Household",112.6176,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3091.9752,17,"Medium"
"FDQ16",19.7,"low fat",0.041703666,"Frozen Foods",109.1912,"OUT013",1987,"High","Tier 3","Supermarket Type1",1637.868,39,"Medium"
"FDS40",15.35,"low fat",0.014098693,"Frozen Foods",37.219,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",805.618,19,"Low"
"FDE36",5.26,"regular",0.042008667,"Baking Goods",162.6868,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",3767.0964,19,"High"
"FDV31",9.8,"low fat",0.106933748,"Fruits and Vegetables",175.337,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",529.311,24,"High"
"NCD42",16.5,"low fat",0.012663476,"Health and Hygiene",39.3506,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",645.1602,24,"Low"
"FDT20",10.5,"low fat",0.041387618,"Fruits and Vegetables",40.1164,"OUT035",2004,"Small","Tier 2","Supermarket Type1",849.5608,22,"Low"
"NCN19",13.1,"low fat",0.012148836,"Others",191.353,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1328.271,17,"High"
"FDW21",5.34,"regular",0.005935001,"Snack Foods",98.8358,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2010.716,41,"Medium"
"FDF34",9.3,"regular",0.014047825,"Snack Foods",196.5084,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",4364.9848,24,"High"
"FDI28",14.3,"low fat",0.026375082,"Frozen Foods",79.6302,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",792.302,24,"Medium"
"FDG44",6.13,"low fat",0.1024785315,"Fruits and Vegetables",55.7298,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2804.3496,41,"Low"
"DRF60",10.8,"low fat",0.052174319,"Soft Drinks",240.3564,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",4290.4152,24,"Premium"
"FDQ36",7.855,"regular",0.161875063,"Baking Goods",38.1848,"OUT019",1985,"Small","Tier 1","Grocery Store",37.2848,41,"Low"
"FDP34",12.85,"low fat",0.137786856,"Snack Foods",157.763,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2659.871,17,"High"
"FDA20",6.78,"low fat",0.066608487,"Fruits and Vegetables",184.624,"OUT035",2004,"Small","Tier 2","Supermarket Type1",5406.296,22,"High"
"FDE41",9.195,"regular",0.064002068,"Frozen Foods",85.5566,"OUT035",2004,"Small","Tier 2","Supermarket Type1",930.1226,22,"Medium"
"DRK47",7.905,"low fat",0.06406438,"Hard Drinks",229.2694,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1826.9552,29,"Premium"
